"station_code","tau_mk","p_valor_mk","slope_sen","p_valor_sen","ponto_mudanca","p_valor_pettitt","n_anomalias","n_extremos","tendencia"
"13180000",0.0934823006391525,0.062612771987915,0.116114873989298,0.722540232202445,35,0.688391381371225,9,0,"Não significativa"
"13410000",-0.0246484689414501,0.649016141891479,-0.824576209677419,0.278620892874861,125,0.350605065799336,5,0,"Não significativa"
"13710001",-0.126877710223198,0.01148696616292,-1.06636477998999,0.168523740438766,66,0.245393430756813,8,0,"Negativa"
"13750000",-0.184357523918152,0.00023958993551787,-2.98713039847724,0.136018776182392,113,0.331849946189401,9,0,"Negativa"
"13870000",-0.144995719194412,0.00529392110183835,-3.54700603398355,0.296562860211556,66,0.468691818720961,8,0,"Negativa"
"13880000",-0.175294831395149,0.000478499801829457,-5.00060581433968,0.0898572915320229,126,0.284993917254526,9,2,"Negativa"
"15120001",0.0174520052969456,0.720095276832581,-0.018771084190029,0.701687225861188,49,0.580656046320959,7,0,"Não significativa"
"15130000",-0.159685850143433,0.00100942410062999,-0.495815307995469,0.0507708568914141,125,0.0404083671409845,11,0,"Negativa"
"15150000",-0.0630453675985336,0.194491297006607,-0.523838950468135,0.198382431172742,126,0.115095738450393,8,0,"Não significativa"
"15200000",-0.170484274625778,0.000447602418716997,-1.90940597497063,0.068970038258439,126,0.102167836689181,11,0,"Negativa"
"15200010",-0.246778711676598,6.48661225568503e-05,-5.58711470046082,0.0208142422133671,78,0.0732398685563273,3,0,"Negativa"
"15250000",-0.17779229581356,0.000251408113399521,-7.35335701441003,0.107467088722228,114,0.0928358458542033,7,2,"Negativa"
"15250001",-0.222663357853889,3.72755384887569e-05,-12.3180089083163,0.0410802655874566,102,0.0684380636430688,7,1,"Negativa"
"15318000",-0.318279564380646,3.74162478777862e-09,-35.2105264569781,0.011405301000895,55,0.0638483591905334,8,0,"Negativa"
"15400000",-0.112783581018448,0.020240880548954,-17.5705472466602,0.138439510953345,125,0.157035024395806,11,1,"Negativa"
"15559000",-0.355058938264847,1.49085670024529e-12,-0.475479181940371,0.0257892902495443,113,0.0779133700444915,9,0,"Negativa"
"15560000",-0.111474685370922,0.0217392276972532,-0.528723524893828,0.234657050453882,125,0.459104378214839,6,0,"Negativa"
"15580000",-0.0552451871335506,0.271402597427368,-0.841654709429354,0.364491017744834,113,0.662764789029236,9,0,"Não significativa"
"15630000",-0.149596512317657,0.00287941144779325,-26.0551342423578,0.0852700160616776,113,0.203201467441733,7,1,"Negativa"
"15700000",0.00620732409879565,0.902519464492798,-9.61244603862485,0.568452328776447,67,0.76830884835562,13,0,"Não significativa"
"15800000",0.0506517663598061,0.313316106796265,-0.428771643322147,0.604199129412176,149,0.990065082983352,7,1,"Não significativa"
