"station_code","tau_mk","p_valor_mk","slope_sen","p_valor_sen","ponto_mudanca","p_valor_pettitt","n_anomalias","n_extremos","tendencia"
"10100000",-0.168520107865334,0.00119014910887927,-21.790928914466,0.350252393548524,138,0.221958724370949,5,0,"Negativa"
"10200000",-0.115332081913948,0.0215952545404434,-0.491553729276801,0.354115887858223,125,0.496470013401778,9,0,"Negativa"
"10500000",-0.128535985946655,0.0173195898532867,-2.34304755677336,0.3335647834756,89,0.5432763838363,2,0,"Negativa"
"11400000",-0.0341402851045132,0.49700939655304,-2.50248089130716,0.924107059061181,24,0.733729203956386,5,0,"Não significativa"
"11500000",-0.0440720021724701,0.380405724048615,-10.7693460517066,0.75052211679523,139,0.702852739227974,4,0,"Não significativa"
"12100000",0.579690039157867,0,3.52274726884846,0.00036732754953877,83,3.27680598079059e-05,2,0,"Positiva"
"12150000",0.351199328899384,0,0.239343128590367,0.755738486873158,23,0.977894656205233,6,1,"Positiva"
"12240000",0.0613059587776661,0.238694906234741,-0.105045048341917,0.939863639890534,24,0.7517111669628,7,0,"Não significativa"
"12360000",0.0231596361845732,0.668981790542603,-0.106986959807973,0.407081499846644,88,0.387871681535411,6,0,"Não significativa"
"12370000",-0.0774924829602242,0.188166171312332,-0.45502790407753,0.409805537049774,76,0.518653989281899,6,0,"Não significativa"
"12390000",-0.299329161643982,3.59923632231585e-07,-0.803107749215328,0.172808454022173,100,0.356709986764173,4,0,"Negativa"
"12400000",-0.0433416031301022,0.422867178916931,-0.0308638645094563,0.216211542854914,113,0.144818098131963,5,0,"Não significativa"
"12420000",0.0333102010190487,0.572364807128906,-0.0931608147328818,0.448838532951598,77,0.89056176346097,5,0,"Não significativa"
"12500000",-0.0268065258860588,0.634793043136597,-0.333361144905686,0.687354810609697,100,0.731396543696093,4,0,"Não significativa"
"12510000",-0.33613446354866,5.28311936420778e-08,-0.210018470754542,0.0447078473728131,40,0.130749774679666,7,0,"Negativa"
"12520000",-0.0589868165552616,0.316691696643829,-1.06474128982012,0.517507440657586,100,0.720392335718831,6,0,"Não significativa"
"12530000",0.172102704644203,0.00344288349151611,-0.0133919329168526,0.842511380045694,112,0.998426077429566,5,0,"Negativa"
"12540000",0.0152671756222844,0.796640992164612,-0.150215249666175,0.504859082227245,113,0.809626424849372,5,0,"Não significativa"
"12600001",-0.113725490868092,0.0658353641629219,-0.425330465949821,0.377589962136398,101,0.937729004504849,3,0,"Não significativa"
"12640000",-0.240363940596581,8.51981621963205e-06,-0.449230066170389,0.040178068989588,41,0.147186023974117,8,0,"Negativa"
"12650000",-0.0394924432039261,0.448135256767273,-0.367341046302377,0.178432335940414,53,0.255488833543899,7,1,"Não significativa"
"12700000",-0.035072710365057,0.500638961791992,-3.08476964715593,0.276716236230174,54,0.39448773310787,8,0,"Não significativa"
